CensusTract,State,County,Urban,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,ZIP
48015760400,Texas,Austin County,0,0,0,0,0,77833
48015760400,Texas,Austin County,0,0,0,0,0,77835
48015760400,Texas,Austin County,0,0,0,0,0,78931
48015760400,Texas,Austin County,0,0,0,0,0,78933
48015760400,Texas,Austin County,0,0,0,0,0,78940
48015760400,Texas,Austin County,0,0,0,0,0,78944
48015760400,Texas,Austin County,0,0,0,0,0,78950
48015760400,Texas,Austin County,0,0,0,0,0,78954
48015760501,Texas,Austin County,0,0,0,0,0,77418
48015760501,Texas,Austin County,0,0,0,0,0,77426
48015760501,Texas,Austin County,0,0,0,0,0,77452
48015760501,Texas,Austin County,0,0,0,0,0,77833
48015760501,Texas,Austin County,0,0,0,0,0,78931
48015760502,Texas,Austin County,0,0,0,0,0,77418
48015760502,Texas,Austin County,0,0,0,0,0,77474
48017950100,Texas,Bailey County,0,0,0,0,0,79031
48017950100,Texas,Bailey County,0,0,0,0,0,79324
48017950100,Texas,Bailey County,0,0,0,0,0,79325
48017950100,Texas,Bailey County,0,0,0,0,0,79344
48017950100,Texas,Bailey County,0,0,0,0,0,79346
48017950100,Texas,Bailey County,0,0,0,0,0,79347
48017950100,Texas,Bailey County,0,0,0,0,0,79371
48019000101,Texas,Bandera County,0,0,0,0,0,78003
48019000101,Texas,Bandera County,0,0,0,0,0,78063
48019000101,Texas,Bandera County,0,0,0,0,0,78883
48019000102,Texas,Bandera County,0,0,0,0,0,78003
48019000102,Texas,Bandera County,0,0,0,0,0,78063
48019000200,Texas,Bandera County,0,1,1,1,1,78003
48019000200,Texas,Bandera County,0,1,1,1,1,78010
48019000200,Texas,Bandera County,0,1,1,1,1,78055
48019000200,Texas,Bandera County,0,1,1,1,1,78883
48019000200,Texas,Bandera County,0,1,1,1,1,78884
48019000200,Texas,Bandera County,0,1,1,1,1,78885
48019000300,Texas,Bandera County,0,0,0,0,0,78003
48019000300,Texas,Bandera County,0,0,0,0,0,78010
48019000300,Texas,Bandera County,0,0,0,0,0,78023
48019000300,Texas,Bandera County,0,0,0,0,0,78063
48019000400,Texas,Bandera County,0,0,0,0,0,78063
48021950100,Texas,Bastrop County,0,0,0,0,0,78602
48021950100,Texas,Bastrop County,0,0,0,0,0,78621
48021950100,Texas,Bastrop County,0,0,0,0,0,78650
48021950100,Texas,Bastrop County,0,0,0,0,0,78653
48021950100,Texas,Bastrop County,0,0,0,0,0,78659
48021950200,Texas,Bastrop County,1,1,1,1,1,78621
48021950300,Texas,Bastrop County,0,0,0,0,0,78602
48021950300,Texas,Bastrop County,0,0,0,0,0,78612
48021950300,Texas,Bastrop County,0,0,0,0,0,78662
